phonetics_id,names,phonetics
1,mira,Mee-ra
2,idun,EE-doon
3,dumarsais,doo-mahr-SAY
4,yaoting,Yoww-Teeng
5,gonul, GOO-nool
6,khulanbayasgalan,khoo-lahn-bah-yahs-gah-lahn
7,joseph, ZHOH-sehf
8,namrata,Nam-raa-ta
9,berk,berk
10,karilee,kuh-ri-lee
11,kharichev, HAH-ree-chehf
12,joachim,yoh-ah-kheem
13,yano, YAH-noh
14,lassana,lah-SAH-nah
15,dawood,dah-VOOD
16,catarina,ka-tuh-REE-nuh
17,juppe,ZHOO-PAY
18,djue, doo-EE
19,rajanpreet,ra-jan-preet
20,milo,MEE-loh
21,hriday,Hrih-die
22,tyrese,TY-reece
23,géza,geh-zah
24,fuster, FOOSH-tehr
25,wolfgang,vawlf-gahng
26,bahaji,bah-HAH-jee
27,fahim,Fah-heem
28,kljuyev, KLOO-yehv
29,ibtisam,ib-TEE-sahm
30,cemil,je-mil
31,hannah,HAN-uh
32,ahidjo, ah-HEE-joh
33,hyejin,Hye-jeen
34,ustasha,OO-stah-shah
35,tanay,Tuh-nay
36,takeshita, tah-KEHSH-eh-tah
37,gengxin,Guhng-Sheen
38,wamuyu,wah-MOO-yoo
39,sjekirica, SYEH-keh-reet-sah
40,xiaoke,Shee-ow-Kuh
41,crillin,Kril-in
42,ximenes,shee-MEH-nes
43,hibo,HEE-bo
44,yousif,YOO-seef
45,prats, PRAHTS
46,papadopoulos,pah-pah-THOH-poo-lohss
47,zahirah,zah-HEE-rah
48,budi,BOO-dee
49,pasteur,pahs-TOOR
50,guterres, goo-TEH-rehsh
51,rasmussen, RASS-moo-sehn
52,cawil,CHAH-weel
53,mukoko, moo-KOH-koh
54,harish,Ha-rish
55,papadopoulou,pah-pah-doh-POO-loo
56,trabelsi, trah-BEHL-see
57,zafir,ZAH-feer
58,bilegjargal,bee-lehg-jahr-gahl
59,izz el-deen,ihz-eh-DEEN
60,andreas,ahn-drey-ahs
61,nadezhda,mee-H-EYE-loh-vah
62,schiff,SHIHF
63,khenpo  ,KEHN-boh
64,haile,hai-leh
65,yafei,Yah-Fay
66,nitaya,nee-TAH-yah
67,tanesha,tuh-NEE-shuh
68,vaidehi,Vai-deh-hee
69,rolandas,roh-LAHN-dahs
70,abdolhossein,ahb-dohl-hoh-SAYN
71,kiprop,kee-prop
72,huiwen,Hway-Wun
73,ismail, IHS-M-EYE-LL
74,dharmendra,dahr-MEHN-drah
75,ekwueme,ehk-WAY-meh
76,tatiana,Tah-tee-AH-nah
77,gisela,jee-SEH-lah
78,labwani, lahb-WAH-nee
79,rasmus,RAS-mo
80,rachid,RAH-shihd
81,emad,EH-mad
82,nkosazana,en-koh-sah-zah-nah
83,azarias,ahz-AIR-ee-ahs
84,musliu,moo-slee-OO
85,seppo,SEP-poh
86,ocalan, ERR-jah-lahn
87,shavon,shuh-VAHN
88,milan,mee-lahn
89,ndi,FROON-dee
90,demosthenes,deh-MOS-theh-nehs
91,zara,ZAH-rah
92,afework,ah-feh-wehrk
93,guangqiang,GWAHNG-CHAHNG
94,natapei, nah-tah-PAY
95,nakyung,Nah-kyoong
96,tuulo,TOO-loh
97,fattouh, fah-TOO-ah
98,petrovic,PEH-troh-vihch
99,ghazala,Ghah-zah-lah
100,naseer,Nah-seer
101,marek,MAH-rehk
102,batya,BAHT-yah
103,pijus,PEE-yuus
104,ruomei,Rwoh-May
105,ib,EEB
106,darshan,Dahr-shahn
107,christos,KREES-tohs
108,borisov,baw-REES-awf
109,sensoy, SHEHN-soy
110,madhavi,Mahd-hah-vee
111,mehralizadeh,MAY-hehr-ah-lee-zah-DEH
112,volker,fohlk-er
113,parviz,pahr-VEEZ
114,kenichiro,keh-NEE-chee-roh
115,micunovic, MEE-CHEW-noh-vihch
116,khurel,khoo-rehl
117,charan,Cha-raan
118,seyi,s-eye-EE
119,romeo,ROH-may-oh
120,seguin, seh-GAAH
121,henri,Ahn-ree
122,laurent,law-RAW(n)
123,jetou,ZHEH-too
124,yanfeng,Yahn-Fung
125,peilun,Pay-Loon
126,taneka,tuh-NEE-kuh
127,wowereit,VOH-vehr-eye-t
128,mara,mah-rah
129,ganya,GAHN-yah
130,sebastiana,seh-bahs-tee-ah-nah
131,koksal,kehrk-SAHL
132,ruzimuradov,roo-zee-muh-RAH-dawf
133,chidiac,SHIHD-yahk
134,venancio,veh-nahn-thee-oh
135,andrade, ahn-DRAH-dah
136,kaur,Kaur
137,ifeoma,Ee-feh-oh-mah
138,guillaume,gee-yohm
139,mario,MAHR-yoh
140,winston,WIN-stuhn
141,felicia,feh-lee-shah
142,fatma,faht-mah
143,pierre,Pee-air
144,nimrod,neem-rohd
145,victor,VIHK-tohr
146,vyacheslav,vee-cheh-SLAWF
147,munkhgerel,moonkh-geh-rehl
148,faisal,FY-sahl
149,vladimirovich,vlah-dee-MEE-roh-vich
150,gavrilovich,gah-vree-LOH-vich
151,maninder,Mahn-in-dehr
152,andrew,ANN-droo
153,njuguna,njoo-GOO-nah
154,erkan,AIR-kahn
155,ojala,OH-yah-lah
156,nancy,NAN-see
157,léopold,lay-oh-pohld
158,yadlin,YAHD-lihn
159,huaping,Hwah-Ping
160,sadiq,SAH-deeq
161,faduma,fah-DOO-mah
162,el-sayed,elSAH-yed
163,ayano,ah-yah-noh
164,lingfei,Leeng-Fay
165,tyrol,teh-ROHL
166,pihu,Pee-hoo
167,pesic,PEH-seech
168,tzipora,tsih-POH-rah
169,keneshbek,kehn-ehsh-B-YEHK
170,assab,AH-sehb
171,amano,AH-mah-noh
172,grigory,gree-GOHR-ee
173,sneha,Snay-hah
174,naveed,Nah-veed
175,chrysanthi,kree-SAHN-thee
176,bayarsaikhan,bah-yahr-sai-khahn
177,shinseki, shehn-SEH-kee
178,sarwari, sahr-wah-REE
179,karatzis,kah-RAHT-zees
180,tejpal,TAYJ-pawl
181,hongzhi,HAWNG-ZHEHR
182,jabir,JAH-beer
183,celestin,Say-leh-stan
184,mohit,Moh-heet
185,hyseni,H-YEW-say-nee
186,zachariadis,zah-khah-ree-AH-dees
187,ben,BEHN
188,petr,PEH-tehr
189,quamchun,kwahm-CHUHN
190,grizold,GREE-zohld
191,hengjie,Huhng-Jyeh
192,calid,KAH-leed
193,khadzhimba, KAHD-zihm-bah
194,nyokabi,nyo-kah-bee
195,lanto,lahn-toh
196,briceno, bree-SAYN-yoh
197,pyongyang,PYUNG-yahng
198,endah,EN-dah
199,ceren,jeh-rehn
200,abe,AH-bay
201,seohyun,Suh-hyun
202,buckovski,BOOCH-KAWF-SKEE
203,muvunyi, moo-VOON-yee
204,zailin,Zigh-Leen
205,abid,eye-UH-bihd
206,morteza,mohr-teh-ZAH
207,schwan, SHVAHN
208,fedorovich,FEH-doh-roh-vich
209,carson,Kar-suhn
210,zhenxing,Jen-Shing
211,yunus, YOO-nuhs
212,timofte, tih-MAWF-teh
213,hamad,Ha-mad
214,ursula,ur-suh-lah
215,severiano,seh-veh-ree-ah-noh
216,olusegun,Oh-loo-seh-goon
217,lakshya,Luhk-shyuh
218,dipu,DEE-poo
219,manu,mah-noo
220,armen,ahr-MEHN
221,taniela,tah-nyeh-lah
222,kimone,kee-MOHN
223,bernard,B-AIR-nehrd
224,salam,SAH-lahm
225,toshihiko,toh-shee-HEE-koh
226,layli,LAY-lee
227,morgan,MOHR-ghehn
228,djogo, JOH-goh
229,jayden,jay-den
230,regina,reh-ghee-nah
231,gerardo,heh-rahr-doh
232,gökmen,gohk-mehn
233,pauline,paw-leen
234,zaw , SAW
235,shafiqah,shah-feek-ah
236,moni,MOH-nee
